libGLX_nvidia.so.0->malloc(12)                                               = 0x558242441150 <0.000051>
libGLX_nvidia.so.0->malloc(12)                                               = 0x558242465050 <0.000051>
libGLX_nvidia.so.0->malloc(20)                                               = 0x5582424650c0 <0.000052>
libGLX_nvidia.so.0->malloc(20)                                               = 0x5582424412b0 <0.000052>
libGLX_nvidia.so.0->malloc(12)                                               = 0x5582424650a0 <0.000051>
libGLX_nvidia.so.0->malloc(12)                                               = 0x558242465430 <0.000068>
libGLX_nvidia.so.0->malloc(12)                                               = 0x558242443f30 <0.000052>
libGLX_nvidia.so.0->malloc(12)                                               = 0x5582424650e0 <0.000051>
libGLX_nvidia.so.0->malloc(20)                                               = 0x55824246e270 <0.000052>
libGLX_nvidia.so.0->malloc(20)                                               = 0x55824246e290 <0.000052>
libxcb.so.1->malloc(169136)                                                  = 0x5582424d1df0 <0.000075>
libxcb.so.1->malloc(16)                                                      = 0x558242469460 <0.000053>
libxcb.so.1->free(0x558242469460)                                            = <void> <0.000052>
libxcb.so.1->malloc(32)                                                      = 0x558242469b10 <0.000103>
libxcb.so.1->malloc(16)                                                      = 0x5582423d0860 <0.000069>
libxcb.so.1->free(0x5582423d0860)                                            = <void> <0.000069>
libxcb.so.1->malloc(169136)                                                  = 0x5582424f8a70 <0.000092>
libxcb.so.1->malloc(16)                                                      = 0x558242469440 <0.000067>
libxcb.so.1->free(0x558242469440)                                            = <void> <0.000067>
libdrm.so.2->free(0x55824246a7c0)                                            = <void> <0.000063>
libxcb.so.1->malloc(169136)                                                  = 0x5582424faeb0 <0.000062>
libxcb.so.1->malloc(16)                                                      = 0x55824246a800 <0.000052>
libxcb.so.1->free(0x55824246a800)                                            = <void> <0.000054>
libxcb.so.1->malloc(96)                                                      = 0x55824246e310 <0.000052>
libxcb.so.1->malloc(16)                                                      = 0x5582423d0860 <0.000051>
libxcb.so.1->free(0x5582423d0860)                                            = <void> <0.000052>
libGLX_nvidia.so.0->free(0x5582424675c0)                                     = <void> <0.000055>
libGLX_nvidia.so.0->free(0x5582424675e0)                                     = <void> <0.000053>
libGLX_nvidia.so.0->free(0x558242467600)                                     = <void> <0.000055>
libGLX_nvidia.so.0->free(0x558242467620)                                     = <void> <0.000054>
libxcb.so.1->malloc(169136)                                                  = 0x5582424fb040 <0.000054>
libxcb.so.1->malloc(16)                                                      = 0x558242524500 <0.000052>
libxcb.so.1->free(0x558242524500)                                            = <void> <0.000057>
libxcb.so.1->malloc(32)                                                      = 0x558242512ca0 <0.000053>
libxcb.so.1->malloc(16)                                                      = 0x558242512cd0 <0.000050>
libxcb.so.1->free(0x558242512cd0)                                            = <void> <0.000051>
libGLX.so.0->malloc(80)                                                      = 0x558242512cf0 <0.000053>
libGLX.so.0->malloc(64)                                                      = 0x558242512d50 <0.000051>
libGLdispatch.so.0->malloc(24)                                               = 0x558242512cd0 <0.000050>
libxcb.so.1->malloc(32)                                                      = 0x558242521ae0 <0.000100>
libxcb.so.1->malloc(16)                                                      = 0x558242521c20 <0.000068>
libxcb.so.1->free(0x558242521c20)                                            = <void> <0.000068>
libxcb.so.1->malloc(32)                                                      = 0x558242521ae0 <0.000067>
libxcb.so.1->malloc(16)                                                      = 0x558242512c80 <0.000065>
libxcb.so.1->free(0x558242512c80)                                            = <void> <0.000066>
libxcb.so.1->malloc(17104)                                                   = 0x558242564520 <0.000077>
libxcb.so.1->malloc(16)                                                      = 0x5582424fb020 <0.000067>
libxcb.so.1->free(0x5582424fb020)                                            = <void> <0.000068>
libGLX_nvidia.so.0->malloc(88)                                               = 0x558242522fb0 <0.000068>
libGLX_nvidia.so.0->malloc(13816)                                            = 0x558242568800 <0.000068>
libGLX_nvidia.so.0->malloc(48)                                               = 0x558242523010 <0.000066>
libGLX_nvidia.so.0->free(0x558242522fb0)                                     = <void> <0.000070>
libGLX_nvidia.so.0->free(0x558242568800)                                     = <void> <0.000067>
libxcb.so.1->malloc(32)                                                      = 0x558242521ae0 <0.000071>
libxcb.so.1->malloc(16)                                                      = 0x558242521c20 <0.000065>
libxcb.so.1->free(0x558242521c20)                                            = <void> <0.000067>
libxcb.so.1->malloc(32)                                                      = 0x558242521ae0 <0.000066>
libxcb.so.1->malloc(16)                                                      = 0x558242512c80 <0.000065>
libxcb.so.1->free(0x558242512c80)                                            = <void> <0.000067>
libxcb.so.1->malloc(169136)                                                  = 0x558242656670 <0.000086>
libxcb.so.1->malloc(16)                                                      = 0x5582425244e0 <0.000066>
libxcb.so.1->free(0x5582425244e0)                                            = <void> <0.000067>
libGLX_nvidia.so.0->free(0x55824262daa0)                                     = <void> <0.000079>
